TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Exclusive Podcast #195 | with ATARAXIUM (Hunab Ku Records),29 days ago,101,14,"1,197",3
,,,,,
Exclusive Podcast #194 | with PSILOPSYBRAIN  (Hunab Ku Records),1 month ago,133,10,"1,406",9
Jorine @ Hadra Trance Festival (France),1 month ago,94,11,"1,009",6
Exclusive Podcast #193 | with KENDOWN,1 month ago,101,8,"1,321",4
Exclusive Podcast #192 | with INSTINTO SAIKO (Ancient Druids Records),1 month ago,101,10,"1,000",2
,,,,,
8.Hans Dunkelkammer Upstalsboom-139 bpm,1 month ago,2,Repost,258,
7.Good old Raoul&Subterfuge Acoustique Psychosis-127 bpm,1 month ago,33,4,584,3
6.Otistic Abada-148 bpm,1 month ago,17,2,434,2
5.Bensaid SourProg-141bpm,1 month ago,18,Repost,626,1
,,,,,
4.Invisible Ralf Switch Off-137 bpm,1 month ago,8,2,313,
3.pHaSenVerScHiEbunGeN Earbeating-138 bpm,1 month ago,7,Repost,281,
2.Mycelliohm Coral Reef-136 bpm,1 month ago,10,1,378,3
1.Hans Dunkelkammer Sherman Blues-140 bpm,1 month ago,12,Repost,464,
,,,,,
Upstalboom VA compiled by Dissoziativa,1 month ago,,,,
Exclusive Podcast #191 | with Klaus' Dissoziativa  (KukiLuki/Maleficarum),1 month ago,28,5,611,2
Exclusive Podcast #190 | with YAKSHARIOON (New Skulls Records/Biijah Records),2 months ago,72,8,998,1
Exclusive Podcast #189 | with FRENETIC FREQUENCY  (Neurobiotics Records),2 months ago,108,11,"1,331",4
,,,,,
Exclusive Podcast #188 | with BYTOMS (Ome Trips Records),3 months ago,121,14,"1,431",7
Exclusive Podcast #187 | with TAQUION (World People Productions),3 months ago,131,18,"1,507",8
Exclusive Podcast #186 | with ALIENS SHADOW (Sound of Nature),3 months ago,146,20,"1,755",12
Exclusive Podcast #185 | with DJANE MEOW (Hekwapi Records),4 months ago,198,18,"2,383",7
,,,,,
Exclusive Podcast #184 | with AQUEOUS (Hunab Ku Records),4 months ago,158,22,"1,948",9
Exclusive Podcast #183 | with ALFA DRACONIS (World People Productions),4 months ago,122,23,"1,507",25
Exclusive Podcast #182 | with LÉAX (Squarelab Music),4 months ago,87,11,"1,123",9
Exclusive Podcast #181 | with SHITHAPPENS,4 months ago,173,14,"2,201",19
,,,,,
Exclusive Podcast #180 | with PSYNAPSIS (Wirikuta Recordings),4 months ago,134,17,"1,756",9
Exclusive Podcast #179 | with DEADHEAD (Hunab Ku Records),4 months ago,131,13,"1,624",15
Exclusive Podcast #178 | with KALIIRA,5 months ago,156,23,"1,735",16
Exclusive Podcast #177 | with NIIJAH (Damaru Records),5 months ago,87,13,"1,183",7
,,,,,
Exclusive Podcast #176 | with YMIR (Wirikuta Rercordings),5 months ago,144,18,"1,702",9
Exclusive Podcast #175 | with ALTER VU (Blacklite Records),5 months ago,253,37,"3,382",14
Exclusive Podcast #174 | with PSYKOZE (Speeding Records),6 months ago,109,11,"1,620",4
Exclusive Podcast #173 | with ACAJOU (Speeding Records),6 months ago,129,15,"1,459",6
,,,,,
Exclusive Podcast #172 | with HYPERION (Nebula Events/United Beats Records),6 months ago,156,20,"2,164",12
Exclusive Podcast #171 | with VORRENTUM ( Parivara Records ),6 months ago,139,20,"1,713",9
Exclusive Podcast #170 | with NØRKEN (Hypnotic Records India),7 months ago,161,17,"2,241",6
Exclusive Podcast #169 | with OPSURUUS (Transubtil Records),7 months ago,262,26,"3,292",16
,,,,,
Exclusive Podcast #168 | with XULUX (Hunab Ku Records),7 months ago,114,13,"1,516",2
Exclusive Podcast #167 | with NIHAL (Ancient Druids Records),7 months ago,191,17,"2,557",8
Exclusive Podcast #166 | with NIBIRU (  Speeding Records ),7 months ago,117,14,"1,677",7
Exclusive Podcast #165 | with COVAK,8 months ago,249,14,"3,910",8
,,,,,
Exclusive Podcast #164 | with OSIRUS,8 months ago,141,16,"1,765",2
Exclusive Podcast # 163 | with EVOLEON (Hipnotic Tribe Records),8 months ago,106,12,"1,487",9
Exclusive Podcast #162 | with PRODELIC (Luminaralabs),8 months ago,102,12,"1,403",4
Exclusive Podcast #161 | with MONCHI (SquareLab Music),9 months ago,193,22,"3,077",25
,,,,,
Exclusive Podcast #160 | with MØRPHEUS (Independent),1 year ago,132,16,"1,898",4
Exclusive Podcast #159 | with O-MACHINE (New Skulls Records),1 year ago,244,22,"3,382",19
Exclusive Podcast #158 | with BASALTIC (Soundblasting Records),1 year ago,175,18,"2,401",4
Exclusive Podcast #157 | with PLEXIGO (Hekwapi Records),1 year ago,279,28,"3,738",30
,,,,,
Exclusive Podcast #156 | with BANDICOOT (PsynopticzRecords),1 year ago,384,36,"5,985",36
Exclusive Podcast #155 |with SCARLINE (FreedomRecords),1 year ago,112,11,"1,591",8
Exclusive Podcast #154 | with HEGCHICK (PixanRecords),1 year ago,203,26,"2,696",14
Exclusive Podcast #153 |with NULLSYSTEM (NewSkulls),1 year ago,88,9,"1,204",8
,,,,,
Exclusive Podcast #152 | with INTROPIN,1 year ago,169,17,"2,344",16
Exclusive Podcast #151 | with GOHU (AstrofonikRecords/WarromajaRecords),1 year ago,139,18,"2,171",73
Exclusive Podcast #150 | with KEELO (MythicalExperienceRecords),1 year ago,146,19,"2,081",16
Exclusive Podcast #149 | with REEZX (HighBPMCrew / BPMCollective),1 year ago,121,11,"1,682",9
,,,,,
Exclusive Podcast #148 |with CREEPY DEEP (Resina Records),1 year ago,498,51,"7,760",24
Exclusive Podcast #147 |with KENOPSALYUM,1 year ago,95,18,"1,326",11
Exclusive Podcast #146 | with CUERIOUS ( Rudra Mantra Records / Our Minds ),1 year ago,157,23,"2,069",12
Exclusive Podcast #145 |with JONNY CRASH (Voodoo Hoodoo Records),1 year ago,150,14,"2,223",6
,,,,,
Exclusive Podcast #144 | with DJ STICK (Reversible Records),2 years ago,272,31,"4,822",11
Exclusive Podcast #143 |with SACRED MANTRA (Banyan Records),2 years ago,362,19,"6,175",18
Exclusive Podcast #142 | with LOGICLAND (Pixan Recordings),2 years ago,366,45,"6,219",26
Exclusive Podcast #141 | with LEMANIK (Wachuma Records/Voidrealm Kollektiv),2 years ago,287,25,"3,550",17
,,,,,
Exclusive Podcast #140 | with OKTA (Reversible Records),2 years ago,830,63,14.2K,19
