TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Okta & SaheL - Secrets of the Tumbleweed,8 days ago,45,9,386,5
Okta - Katabasis,19 days ago,40,2,388,
,,,,,
Okta - Creativity Unchained,6 months ago,163,15,"2,475",11
OKTA - Reality Building Blocks,1 year ago,113,9,"1,767",7
Okta & Monchi - Reverse Engineers,1 year ago,144,14,"2,039",10
TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Okta & SaheL - Secrets of the Tumbleweed,8 days ago,45,9,386,5
Okta - Katabasis,19 days ago,40,2,388,
,,,,,
Okta - Creativity Unchained,6 months ago,163,15,"2,475",11
OKTA - Reality Building Blocks,1 year ago,113,9,"1,767",7
Okta & Monchi - Reverse Engineers,1 year ago,144,14,"2,039",10
Rafyx & Okta -New Collab - 152 BPM,1 year ago,97,8,"2,524",12
,,,,,
7 - Rafyx & Okta - ChatterHeads - 16bit Master,1 year ago,70,10,"1,380",3
Exclusive Podcast #140 | with OKTA (Reversible Records),2 years ago,830,63,14.2K,19
Okta -  Shapes Of Matter,2 years ago,66,10,"1,599",3
12 Okta - Timbering,2 years ago,91,12,"1,252",3
,,,,,
OKTA LIVE 2023,2 years ago,276,32,"3,310",12
Fibonaccid's - Gates Of Reality(Original Mix),2 years ago,65,13,"1,477",6
01 Okta - Non Euclidean Universe,3 years ago,43,6,"1,233",3
02 Okta - Complex Object,3 years ago,34,5,636,
,,,,,
03 Okta - Pineal Type Of Sound (feat. Eargazmik),3 years ago,66,7,"1,047",
04 Okta - Neurons Orchestra,3 years ago,33,6,552,
05 Okta - Unbounded By Time,3 years ago,30,6,549,2
Okta - The Last Algorithm,3 years ago,,,,
,,,,,
Mono Sapiens & Okta - Holotropic Breathwork,3 years ago,507,40,12.5K,14
Eargazmik & Okta - Induced By Sound,3 years ago,339,16,"5,793",7
Okta - Spontaneous Amplification,3 years ago,162,9,"2,855",9
Okta & Eargazmik - Quantum Circus,3 years ago,131,13,"1,703",9
,,,,,
09 Gandhabba & Okta - Minus One In Azores,4 years ago,65,11,"1,372",6
Okta - Non Euclidean Universe (Preview),4 years ago,81,9,"1,583",10
04 Okta - Illusion Recipe,5 years ago,76,11,"1,498",4
Va New Wave Killer Minimix,5 years ago,"2,423",163,52.5K,131
,,,,,
OKTA | Reversible Records presents | 16/05/2020,5 years ago,613,88,"8,065",67
01. Okta - Green Connection,5 years ago,72,6,"1,442",
02. Okta - The Same Experience,5 years ago,42,2,967,
03. Okta - (su)Realistic Optimism,5 years ago,32,9,631,2
,,,,,
04. Okta - Folded In Consciousness,5 years ago,49,7,725,3
05. Okta - E - Ternal,5 years ago,26,3,442,1
Okta - (su)Realistic Optimism,5 years ago,,,,
Rafyx - Analog Shapes,5 years ago,,,,
,,,,,
Mono Sapiens & Okta - Digital Encounters,5 years ago,160,18,14.3K,18
Electric Jota - Emotions 19,5 years ago,147,26,"2,014",7
Okta - Harmonic Ritual,6 years ago,416,38,"6,236",39
Okta - Brain Connector,6 years ago,165,16,"2,467",11
,,,,,
Mind Sculping demo unsmasterd,7 years ago,,,,
AMPHIBIOUS PLACE 147G# Wav,7 years ago,52,6,"1,101",13
JUICY WORLD 147 D#,7 years ago,27,3,638,
KNOWLEDGE TRANSFUSION 147 D#,7 years ago,29,6,538,3
,,,,,
MAGNETIC TOOLBOX146 D,7 years ago,29,5,471,3
VIRUS PLAYGROUND 148F#,7 years ago,36,4,660,2
08. Rafyx - Opaque Echos,7 years ago,76,11,"1,939",5
Okta - Crystal Wizzard,7 years ago,43,7,840,2
,,,,,
Okta - Transcendent Connections,7 years ago,,,,
Thirsty Amigo & OKTA - Melting Patterns [Time Has No Noises Vol. II],8 years ago,85,44,"1,046",19
MYSTIC TRIBE,12 years ago,11,Repost,403,
