TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Rafyx - Extrusion From The Inside,18 days ago,26,6,237,2
Rafyx - Mad Man (PREVIEW),1 month ago,14,1,295,3
,,,,,
Nocturnal Tuning [EP],4 months ago,,,,
Noctune & Intrapsyche ft. Rafyx - Undbound Fluorishing (Original Mix),4 months ago,69,8,"1,209",2
RAFYX - BONESTORM [EP],1 year ago,,,,
RAFYX | Hekwapi Records Series Ep. 3 | 25604/2024,1 year ago,468,61,"6,084",27
Rafyx & Trainwreck - Wrecking Frequencies - 148BPM F,1 year ago,94,6,"2,050",3
Rafyx & Okta -New Collab - 152 BPM,1 year ago,97,8,"2,524",12
𝚁𝙰𝙵𝚈𝚇 - 𝙳𝙴𝙹𝙰𝚅𝙾𝙾𝙳𝙾𝙾 (𝙻𝙿 ) 2023,1 year ago,,,,
1 - Rafyx - Ho´ Omau - 16bit Master,1 year ago,119,7,"2,772",3
2 - Rafyx & Makolly -  Entropie  -16bit Master,1 year ago,50,7,"1,302",2
3 - Rafyx - Jerry´s Divinorium - 16bit Master,1 year ago,39,2,957,3
4 - Rafyx - Momentum - 16bit Master,1 year ago,15,1,492,
5 - Rafyx - Ellipsis - 16bit Master,1 year ago,24,2,579,2
6 - Rafyx & Trizark - Blissful Existence - 16bit Master,1 year ago,31,3,823,4
7 - Rafyx & Okta - ChatterHeads - 16bit Master,1 year ago,70,10,"1,380",3
8 - Rafyx - Timelesss Perception - 16bit Master,1 year ago,18,3,453,3
9 - Rafyx - Computer Freak - 16bit Master,1 year ago,22,1,449,
10 - Rafyx -Anaconda - 16bit Master,1 year ago,26,2,631,1
Rafyx - DejaVooDoo [LP],1 year ago,,,,
Rafyx - DejaVooDoo ( LP ) - MiniMix,1 year ago,322,27,"4,768",19
13 Rafyx - Suspicious Textures,2 years ago,85,11,"1,262",2
RAFYX SHAPES - SAMPLE PACK PREVIEW,2 years ago,20,3,592,4
Rafyx - Summoning Ritual - 175 BPM,2 years ago,193,14,"3,924",26
Rafyx & Phobic Phase - Unxptd,2 years ago,89,6,"1,936",6
Exclusive Podcast #085 | with RAFYX (Reversible Records),3 years ago,545,64,"9,649",36
FREE DOWNLOAD - Hypogeo & Electrypnose - F__K With The Android (Rafyx Remix) - 24bit,3 years ago,138,11,"2,559",7
01 Rafyx - Third Eye Contact,3 years ago,39,3,"1,194",3
04 Rafyx - Organic Circuits,3 years ago,29,1,539,2
03 Rafyx - Hyperdimensional,3 years ago,27,1,486,
02 Rafyx - 25i - NBoMe,3 years ago,28,3,640,2
04 Rafyx & Okta - Trix,3 years ago,51,6,"1,004",3
01 Rafyx & Psyyo - Flangy Wangy,3 years ago,60,7,"1,322",4
02. Rafyx - Space Cake,3 years ago,21,3,873,4
03. Rafyx - Analog Shapes,3 years ago,30,3,940,4
04. Ninesense - Freakonomics (Rafyx RMX),3 years ago,61,13,"1,618",4
05 Rafyx - Return To Forever,3 years ago,34,6,739,3
Rafyx - Lucy In The Sky With Sparkles,5 years ago,277,24,"5,034",14
1) Kaza & Rafyx - Wonderland (Interzone Master),6 years ago,583,50,13K,27
RAFYX | In Focus | 02/02/2019,6 years ago,569,90,"7,889",40
