TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Anchronorium - Paradoxal,12 days ago,51,5,543,2
,,,,,
Anchronorium - MetaMorph,12 days ago,31,4,436,2
Anchronorium - No Rules,12 days ago,30,6,371,2
Anchronorium - Dissonus,12 days ago,51,5,388,3
1- Dr Fractal vs Pakkun - Blast Simulator 153 bpm (TsMaster 16bt),1 month ago,77,10,"1,268",6
11- Kythera & Dr Fractal - Immaculate Constellation (TsMaster 16bt),1 month ago,65,13,"1,014",8
3- Balliou & Living Frequencies - Chaoscillations 154G (Ts Master 16bt),1 month ago,67,13,985,2
8- Shred'er & Zeo - Hybrid Forms  157 Bpm (TsMaster 16bt),1 month ago,77,10,962,6
10- Yann - Numbers in nature 155 Bpm (TsMaster 16bt),1 month ago,24,4,411,
5- Abween - Stoned Astronaut Brain 153 Bpm (TsMaster 16bt)  ste,1 month ago,25,5,469,1
6- Interior Light - Freestyle 155 Bpm (TsMaster 16bt),1 month ago,29,6,405,4
4- Kanaloa & Ingenious Brain- The Essence- 155 Bpm (TsMaster 16bt),1 month ago,22,3,545,1
7- Warp Drive - Mephisto Waltz 157 Bpm (TsMaster 16bt),1 month ago,19,3,439,1
12- Opsuruus - Chromatic Echoes 163 Bpm (TSMaster 16bt),1 month ago,54,7,659,2
9- Mysmatic & Lesky - Amour parfait  155 Bpm (TsMaster 16bt),1 month ago,58,13,806,2
2- Astrogen - Stranger Psy 150 Bpm (TsMaster 16bt),1 month ago,18,3,587,1
3 - Kanaloa - Marinospora,2 months ago,31,1,487,1
4 - Kanaloa & Borderliner - Fondescent Entropy,2 months ago,19,1,342,
1 - Kanaloa & Dezert - Psythium,2 months ago,45,4,680,
2 - Kanaloa - Nautiloids,2 months ago,32,3,522,2
Kanaloa  - Obsidian,2 months ago,,,,
Creepy Deep & Karev - Tongue Twister 155 (SSK MST 4416),2 months ago,78,10,"1,106",8
"Karev, Creepy Deep e Interior Light - Multiverso da Loucura 153 G (SSK MST 4416)",2 months ago,64,9,828,10
Karev e Creepy Deep- the dream 154 (SSK MST 4416),2 months ago,95,7,"1,389",2
Xipe Totecs & Dj Lazzzy - Queen Gambit (Master 16b),5 months ago,69,9,"1,031",3
Neurology - Dokyo Trift (Master 16b),5 months ago,61,2,816,5
Okta & Eargazmik - Tree Dimensional (Master 16b),5 months ago,33,5,583,1
Shred'er - Ultra Heavenish (Master 16b),5 months ago,34,1,564,1
Juggerknot - Bushido Blues (Master 16b),5 months ago,68,6,"1,292",2
Vaion - Get Your Self (Master 16b),5 months ago,23,1,400,1
Jimi Green - Grip & Rip (Master 16b),5 months ago,23,3,421,1
Radikal Moodz - Acid Layers (Master 16b),5 months ago,48,7,843,3
Doom's - Mecanic Syndrome (Master 16b),5 months ago,19,1,552,
Cosmix Illusion & Osiris - Fake 25 Witches (Master 16b),5 months ago,24,4,595,1
Opsuruus - No Humans (Ts studio Master 16bt),6 months ago,158,13,"2,311",9
Transubtil Rec Showcase # 21 - Wild Track,6 months ago,151,22,"1,837",12
V.A Ultra Heaven Minimix,6 months ago,139,21,"1,758",26
Transubtil Rec Showcase # 20 - Dj Lazzzy Dj Set Gaia 2024,7 months ago,96,14,"1,166",6
Ingenious Brain & Warp Drive  -  The Brain Drive,7 months ago,43,3,776,2
Ingenious Brain & Autentic - Authentic-Ingenuity,7 months ago,89,8,"1,532",3
Ingenious Brain & Midsider - Brain Terms,7 months ago,162,10,"2,679",4
Ingenious Brain - Brain Terms Ep,7 months ago,,,,
Zeo - Whispers Of Chaos,10 months ago,180,18,"3,768",18
Zeo - Laughing Squall,10 months ago,156,11,"2,943",19
Zeo - Mayem,10 months ago,138,12,"2,698",15
ZEO - Whispers Of Chaos,10 months ago,,,,
1 Xipe Totecs - Party Games (Master 16bt),11 months ago,72,3,"1,490",2
Xipe Totecs - Party Games Ep,11 months ago,,,,
2 - PumpUp (Master 16bt),11 months ago,37,3,698,
3 - Endroll (Master 16bt) V2,11 months ago,37,2,760,
Xipe Totecs - Party Games - Minimix,11 months ago,98,12,"1,935",1
Drops Festival 2024 - Dj Set,11 months ago,326,20,"4,934",21
Heavy Fawn @ Hadra Trance Festival 2024,11 months ago,373,31,"5,284",45
Transubtil Rec Showcase # 19 -Ingenious Brain,1 year ago,160,13,"2,198",12
Transubtil Rec Showcase #18 -Warp Drive,1 year ago,242,39,"3,426",22
Transubtil Rec Showcase #17 -Pakkun,1 year ago,135,19,"2,053",12
Transubtil Rec Showcase #16 - ZEO LIVE @ SON LIBRE FESTIVAL 2024,1 year ago,609,59,"8,893",76
Opsuruus - Surreal Contrast Album,1 year ago,,,,
1- Opsuruus - Surreal Contrast 162 Bpm,1 year ago,124,7,"2,995",5
2- Opsuruus - Cyber Vision 160 Bpm,1 year ago,54,2,"1,667",2
3- Opsuruus & Noctune - Recalibration 156 Bpm,1 year ago,82,6,"1,728",1
4- Opsuruus & Karev - Monk Business 157 Bpm,1 year ago,59,6,"1,465",
5- Opsuruus - Bombing Warm 158 Bpm,1 year ago,33,4,"1,072",1
6- Opsuruus & Balku - The Product 160 Bpm,1 year ago,53,2,"1,303",2
7- Opsuruus - Blow Them Up 160 Bpm,1 year ago,38,3,"1,050",2
8- Opsuruus & The Horrids - Deep Strangeness 155  Bpm,1 year ago,54,4,"1,219",2
9- Opsuruus & Tochaman - The Last Samurai 159Bpm,1 year ago,53,3,"1,116",2
10- Opsuruus - Blast Project  160Bpm,1 year ago,41,3,"1,023",3
Opsuruus - Surreal Contrast - Minimix,1 year ago,424,34,"6,757",20
